Section,Page,Demo name,Example ID,Docs link,Environment,Docs OK,Docs note,Sandbox OK,Sandbox note
Rows,Rows sorting,Add custom sort icons,exampleCustomSortIcons3,https://handsontable.com/docs/vue-data-grid/rows-sorting/#exampleCustomSortIcons3,prod,PASS,,PASS,
Rows,Rows pagination,Pagination demo,example1,https://handsontable.com/docs/vue-data-grid/rows-pagination/#example1,prod,PASS,,PASS,
Rows,Rows pagination,Configure pagination,example2,https://handsontable.com/docs/vue-data-grid/rows-pagination/#example2,prod,PASS,,PASS,
Rows,Rows pagination,Control pagination programmatically,example3,https://handsontable.com/docs/vue-data-grid/rows-pagination/#example3,prod,PASS,,PASS,
Rows,Rows pagination,Choose where to display the pagination UI,example4,https://handsontable.com/docs/vue-data-grid/rows-pagination/#example4,prod,PASS,,PASS,
Rows,Rows pagination,Modify paged data,example5,https://handsontable.com/docs/vue-data-grid/rows-pagination/#example5,prod,PASS,,PASS,
Rows,Rows pagination,Localize pagination,example6,https://handsontable.com/docs/vue-data-grid/rows-pagination/#example6,prod,PASS,,PASS,
Rows,Row trimming,Example,example1,https://handsontable.com/docs/vue-data-grid/row-trimming/#example1,prod,PASS,,PASS,
Rows,Row pre-populating,Basic spare rows,example1,https://handsontable.com/docs/vue-data-grid/row-prepopulating/#example1,prod,PASS,,PASS,
Rows,Row pre-populating,Spare rows with placeholder styling,example2,https://handsontable.com/docs/vue-data-grid/row-prepopulating/#example2,prod,PASS,,PASS,
Rows,Row pre-populating,Auto-populating with template values,example3,https://handsontable.com/docs/vue-data-grid/row-prepopulating/#example3,prod,PASS,,PASS,
Cell features,Selection,Select ranges,example1,https://handsontable.com/docs/vue-data-grid/selection/#example1,prod,PASS,,PASS,
Cell features,Selection,Get data from the selected ranges,example2,https://handsontable.com/docs/vue-data-grid/selection/#example2,prod,PASS,,PASS,
Cell features,Selection,Modify the selected cells,example3,https://handsontable.com/docs/vue-data-grid/selection/#example3,prod,PASS,,PASS,
Cell features,Selection,Style the selection area,example4,https://handsontable.com/docs/vue-data-grid/selection/#example4,prod,PASS,,PASS,
Cell features,Selection,Select cells programmatically,example5,https://handsontable.com/docs/vue-data-grid/selection/#example5,prod,PASS,,PASS,
Cell features,Selection,Jump across horizontal edges,example6,https://handsontable-docs-staging.pages.dev/docs/vue-data-grid/selection/#example6,dev (staging),PASS,,PASS,
Cell features,Merge cells,How to merge cells,example1,https://handsontable.com/docs/vue-data-grid/merge-cells/#example1,prod,PASS,,PASS,
Cell features,Merge cells,Optimizing rendering of the wide/tall merged cells,example2,https://handsontable.com/docs/vue-data-grid/merge-cells/#example2,prod,PASS,,PASS,
Cell features,Conditional formatting,Example of conditional formatting,example1,https://handsontable.com/docs/vue-data-grid/conditional-formatting/#example1,prod,PASS,,PASS,
